Alter;Geschlecht;Vertragsenddatum;Bereich;Standort;Vertragsart;Austrittsdatum;Betriebszugehoerigkeit;FTE;FK;Abteilungsgroeﬂe;Zeit_auf_Position;Mitarbeiterstatus;Aktiv;2023_Ziele;2023_Pers_Beurteilung;2024_Ziele;2024_Pers_Beurteilung;Krankenstand_2023;Krankenstand_2024;Gehaltsentwicklung
41-50;F;;Werk;D;Permanent;;30-32;0.0;1;70.48102873418661;18-20;Terminated;1;#NV;#NV;#NV;#NV;;;5%-9%
31-40;M;;Werk;G;Permanent;;"""12-14""";0.5;0;12.14504883027661;"""6-8""";Active;0;‹berdurchschnitt;‹berdurchschnitt;‹berdurchschnitt;#NV;;1,0 - 3 %;15%-19%
‹ber 60;M;;Gesch‰ftsbereich;E;Permanent;20.09.2024;45-47;1.0;1;155.4105729258711;0-2;Terminated;1;#NV;#NV;#NV;#NV;;5,1 - 10%;
18-24;M;;Gesch‰ftsbereich;C;Permanent;;0-2;999.0;1;9.76124858661126;0-2;Terminated;0;#NV;‹berdurchschnitt;#NV;#NV;;;
31-40;F;09.08.2022;HQ;G;Permanent;;"""6-8""";999.0;1;106.76057316347962;"""3-5""";Active;0;#NV;‹berdurchschnitt;‹berdurchschnitt;Unrated;;;5%-9%
25-30;F;;Werk;B;Permanent;31.12.2022;0-2;1.0;1;5.271665323820569;0-2;Active;0;#NV;#NV;#NV;#NV;5,1 - 10%;5,1 - 10%;
18-24;M;;Werk;E;Permanent;;0-2;1.0;0;25.706438147153953;0-2;Active;0;‹berdurchschnitt;‹berdurchschnitt;#NV;Unrated;1 % - 3 %;3,1 - 5%;
41-50;M;;Gesch‰ftsbereich;C;Permanent;;24-26;1.0;1;86.0776578923986;"""3-5""";Active;0;#NV;‹berdurchschnitt;#NV;#NV;1 % - 3 %;3,1 - 5%;10%-14%
25-30;M;30.09.2024;Werk;B;Permanent;;"""9-11""";999.0;0;26.42828198099439;0-2;Active;0;#NV;Durchschnitt;#NV;#NV;1 % - 3 %;10,1 - 15%;20%-24%
31-40;M;;HQ;D;Fixed term contract;;"""12-14""";999.0;1;40.3956507299027;"""9-11""";Active;0;#NV;#NV;#NV;#NV;;10,1 - 15%;"""-35%-31%"""
41-50;M;;Werk;A;Fixed term contract;;27-29;1.0;1;58.86339417922065;18-20;Terminated;0;#NV;#NV;Durchschnitt;#NV;3,1 - 5%;;5%-9%
25-30;M;31.01.2025;Werk;G;Permanent;;"""3-5""";0.5;0;32.78935567921052;"""3-5""";Active;1;Durchschnitt;Durchschnitt;#NV;#NV;1 % - 3 %;5,1 - 10%;
41-50;M;;Werk;A;Permanent;;21-23;0.5;0;5.729422901995317;18-20;Active;1;Durchschnitt;‹berdurchschnitt;#NV;‹berdurchschnitt;15,1 - 20 %;kleiner 1%;10%-14%
31-40;M;;Werk;C;Permanent;;"""6-8""";0.0;0;144.28967839809823;"""6-8""";Terminated;1;#NV;‹berdurchschnitt;‹berdurchschnitt;‹berdurchschnitt;;;20%-24%
51-60;M;;HQ;F;Permanent;;30-32;0.5;1;19.72254240438038;0-2;Active;1;‹berdurchschnitt;Durchschnitt;Durchschnitt;#NV;;5,1 - 10%;5%-9%
31-40;M;;HQ;A;Fixed term contract;;"""6-8""";0.0;1;33.486687929502764;"""6-8""";Active;0;#NV;#NV;Durchschnitt;Unrated;;5,1 - 10%;
18-24;F;;Gesch‰ftsbereich;A;Permanent;;"""3-5""";0.5;1;123.39363030238259;"""3-5""";Active;0;#NV;Durchschnitt;#NV;‹berdurchschnitt;;5,1 - 10%;
31-40;F;;Werk;E;Permanent;;"""6-8""";1.0;0;180.04311053095753;"""3-5""";Active;0;‹berdurchschnitt;Unrated;#NV;#NV;15,1 - 20 %;1,0 - 3 %;15%-19%
51-60;F;;Werk;F;Permanent;08.03.2024;36-38;0.0;0;40.33454605920531;0-2;Terminated;0;#NV;#NV;‹berdurchschnitt;‹berdurchschnitt;1 % - 3 %;;
51-60;M;;Werk;F;Fixed term contract;;18-20;0.5;0;161.98106693337027;15-17;Active;1;#NV;#NV;‹berdurchschnitt;#NV;1 % - 3 %;;10%-14%
51-60;M;;Werk;C;Permanent;;21-23;999.0;1;20.43359093441075;18-20;Active;1;#NV;#NV;#NV;Durchschnitt;15,1 - 20 %;;
25-30;M;;HQ;G;Permanent;;"""9-11""";0.0;0;0.843887250226695;"""6-8""";Active;1;#NV;#NV;#NV;Durchschnitt;;60,1 - 75 %;
51-60;M;;HQ;B;Permanent;;36-38;1.0;0;56.669767546585405;18-20;Active;0;#NV;Durchschnitt;#NV;#NV;20,01 - 40%;;5%-9%
31-40;M;;Werk;A;Permanent;;18-20;0.0;0;14.939211254024151;"""6-8""";Active;1;#NV;#NV;#NV;#NV;;;5%-9%
31-40;M;;HQ;D;Permanent;14.03.2023;18-20;999.0;1;265.5960022511426;18-20;Active;1;#NV;Durchschnitt;‹berdurchschnitt;‹berdurchschnitt;;;10%-14%
25-30;M;;Werk;A;Permanent;;0-2;0.0;1;54.83786374890655;0-2;Active;0;#NV;#NV;#NV;#NV;;;
25-30;M;31.07.2024;HQ;A;Permanent;;0-2;0.0;0;36.15517779485569;0-2;Active;0;#NV;‹berdurchschnitt;#NV;#NV;1 % - 3 %;3,1 - 5%;
18-24;M;;HQ;A;Permanent;;0-2;0.0;1;261.187119006962;0-2;Active;0;Durchschnitt;#NV;Durchschnitt;Durchschnitt;;3,1 - 5%;
51-60;M;;Gesch‰ftsbereich;G;Permanent;;33-35;999.0;0;178.52739900038085;0-2;Terminated;1;#NV;#NV;#NV;#NV;5,1 - 10%;;5%-9%
31-40;M;;Werk;C;Permanent;31.07.2023;"""9-11""";999.0;1;143.68619933909798;0-2;Terminated;1;#NV;#NV;Unrated;#NV;kleiner 1 %;5,1 - 10%;
31-40;M;08.09.2024;HQ;A;Permanent;31.05.2024;"""6-8""";999.0;1;9.067484438659555;"""6-8""";Active;0;#NV;‹berdurchschnitt;#NV;‹berdurchschnitt;kleiner 1 %;;10%-14%
51-60;F;;HQ;F;Permanent;;18-20;0.0;0;72.59784675201232;"""6-8""";Active;0;#NV;#NV;Durchschnitt;#NV;;;10%-14%
‹ber 60;M;;Werk;E;Permanent;;33-35;0.0;1;175.7622349923921;0-2;Active;1;#NV;#NV;#NV;Durchschnitt;10,1 - 15 %;1,0 - 3 %;
41-50;M;;HQ;G;Permanent;;18-20;0.0;0;13.002616423970471;0-2;Active;0;#NV;Durchschnitt;Unrated;#NV;75,01 - 100 %;60,1 - 75 %;5%-9%
51-60;M;;Werk;G;Permanent;;24-26;0.5;0;9.200907978072411;15-17;Active;1;Durchschnitt;Durchschnitt;#NV;‹berdurchschnitt;1 % - 3 %;5,1 - 10%;5%-9%
31-40;M;;Gesch‰ftsbereich;E;Fixed term contract;;"""12-14""";1.0;0;188.39185588198612;0-2;Dormant;1;‹berdurchschnitt;#NV;#NV;#NV;5,1 - 10%;;5%-9%
51-60;M;28.02.2026;Werk;A;Permanent;;36-38;1.0;0;78.14246472251754;18-20;Terminated;0;#NV;‹berdurchschnitt;#NV;Unrated;;;5%-9%
31-40;M;;HQ;A;Permanent;;0-2;0.5;1;258.96956084821437;0-2;Terminated;0;#NV;Unrated;#NV;Durchschnitt;;;
51-60;F;;Gesch‰ftsbereich;C;Permanent;30.04.2022;33-35;1.0;0;181.35871227316204;0-2;Active;0;#NV;#NV;Durchschnitt;#NV;3,1 - 5%;1,0 - 3 %;10%-14%
31-40;F;;Werk;F;Permanent;;0-2;0.0;0;26.417124424203212;0-2;Active;0;Durchschnitt;#NV;#NV;#NV;;;
41-50;M;;Werk;D;Permanent;;"""6-8""";0.5;0;54.8739286136159;0-2;Terminated;1;#NV;#NV;#NV;#NV;5,1 - 10%;kleiner 1%;25%-29%
51-60;F;;Werk;A;Permanent;;36-38;0.0;0;57.75489316476525;15-17;Active;1;‹berdurchschnitt;#NV;#NV;‹berdurchschnitt;;1,0 - 3 %;0%-4%
31-40;M;;Gesch‰ftsbereich;G;Permanent;31.12.2024;"""3-5""";0.5;0;56.779230292485956;"""3-5""";Active;0;#NV;#NV;#NV;#NV;1 % - 3 %;1,0 - 3 %;
‹ber 60;F;30.09.2023;Werk;D;Permanent;;21-23;999.0;0;42.677818638515895;0-2;Dormant;1;#NV;#NV;‹berdurchschnitt;#NV;5,1 - 10%;;
31-40;M;13.12.2025;Gesch‰ftsbereich;E;Permanent;;"""3-5""";0.5;0;16.943942827175178;0-2;Active;0;Durchschnitt;Durchschnitt;#NV;‹berdurchschnitt;;1,0 - 3 %;30%-34%
31-40;M;;Werk;G;Permanent;;"""6-8""";0.0;0;63.0186591945882;"""6-8""";Active;0;#NV;Unrated;#NV;Durchschnitt;kleiner 1 %;;10%-14%
25-30;M;31.05.2022;Gesch‰ftsbereich;A;Permanent;31.12.2023;0-2;0.0;1;24.81049112024563;0-2;Active;1;#NV;#NV;#NV;#NV;;3,1 - 5%;
41-50;M;;Gesch‰ftsbereich;A;Permanent;;15-17;0.5;0;48.808299280593275;"""6-8""";Active;0;‹berdurchschnitt;Durchschnitt;#NV;‹berdurchschnitt;;;5%-9%
51-60;M;28.02.2025;Werk;F;Permanent;;24-26;0.0;0;42.82104689190966;18-20;Terminated;1;#NV;#NV;#NV;Durchschnitt;1 % - 3 %;5,1 - 10%;5%-9%
41-50;M;;Gesch‰ftsbereich;D;Permanent;30.06.2025;"""12-14""";0.0;1;42.01580918144811;"""9-11""";Active;1;#NV;‹berdurchschnitt;Durchschnitt;‹berdurchschnitt;;5,1 - 10%;10%-14%
51-60;M;;Gesch‰ftsbereich;A;Fixed term contract;;36-38;1.0;0;179.83903768583662;"""3-5""";Active;1;#NV;#NV;Durchschnitt;Unrated;kleiner 1 %;1,0 - 3 %;5%-9%
25-30;M;;Gesch‰ftsbereich;E;Permanent;30.09.2023;0-2;0.0;1;44.0623486911315;0-2;Active;1;‹berdurchschnitt;Durchschnitt;Unrated;#NV;1 % - 3 %;;
41-50;M;;Werk;B;Permanent;;24-26;0.5;1;113.91265400312803;0-2;Active;0;Unrated;#NV;#NV;Durchschnitt;;;5%-9%
51-60;M;;Gesch‰ftsbereich;A;Permanent;11.10.2022;27-29;1.0;1;192.54979131948764;"""3-5""";Terminated;0;#NV;‹berdurchschnitt;Durchschnitt;‹berdurchschnitt;;;5%-9%
18-24;M;;Werk;G;Permanent;;"""3-5""";1.0;1;15.281425990073261;0-2;Active;0;#NV;#NV;#NV;‹berdurchschnitt;5,1 - 10%;3,1 - 5%;70%-74%
41-50;M;28.02.2027;Werk;B;Fixed term contract;30.09.2023;"""9-11""";0.5;1;21.263994548703092;"""9-11""";Active;1;#NV;#NV;#NV;Durchschnitt;3,1 - 5%;;5%-9%
31-40;M;;Werk;E;Permanent;;"""6-8""";999.0;1;41.066518687260015;"""6-8""";Dormant;1;Durchschnitt;‹berdurchschnitt;#NV;#NV;;;5%-9%
41-50;M;;Gesch‰ftsbereich;F;Permanent;30.06.2023;15-17;0.5;1;58.09300640061793;"""12-14""";Active;0;‹berdurchschnitt;#NV;#NV;#NV;20,01 - 40%;kleiner 1%;5%-9%
41-50;F;31.05.2025;Werk;F;Permanent;;27-29;1.0;0;142.15890809981374;"""3-5""";Active;0;#NV;Durchschnitt;#NV;‹berdurchschnitt;;;10%-14%
41-50;M;;Gesch‰ftsbereich;C;Permanent;;27-29;0.0;0;12.320858563559833;"""12-14""";Active;0;#NV;‹berdurchschnitt;#NV;Durchschnitt;5,1 - 10%;;5%-9%
25-30;M;28.02.2023;HQ;D;Fixed term contract;;"""3-5""";0.5;1;10.40893407959864;0-2;Active;0;#NV;‹berdurchschnitt;‹berdurchschnitt;#NV;1 % - 3 %;;25%-29%
51-60;M;;Gesch‰ftsbereich;C;Permanent;;24-26;0.0;0;44.42287617687673;18-20;Terminated;0;‹berdurchschnitt;#NV;#NV;#NV;10,1 - 15 %;;10%-14%
51-60;M;;HQ;E;Permanent;;21-23;1.0;0;143.17558560681726;"""9-11""";Active;1;#NV;#NV;#NV;#NV;;5,1 - 10%;10%-14%
31-40;M;;Werk;E;Permanent;;"""9-11""";1.0;0;92.72116117021136;0-2;Terminated;1;Durchschnitt;#NV;#NV;#NV;;kleiner 1%;5%-9%
31-40;M;;Gesch‰ftsbereich;E;Permanent;;24-26;999.0;0;117.76553657710163;0-2;Active;0;#NV;Unrated;#NV;#NV;1 % - 3 %;;10%-14%
25-30;M;;Werk;A;Permanent;;"""9-11""";999.0;1;10.362135504315235;0-2;Dormant;0;‹berdurchschnitt;‹berdurchschnitt;Durchschnitt;Durchschnitt;5,1 - 10%;;10%-14%
31-40;M;;Werk;B;Permanent;;21-23;0.0;1;20.21904418728942;0-2;Active;1;‹berdurchschnitt;Unterdurchschnitt;Durchschnitt;Unrated;5,1 - 10%;3,1 - 5%;"""-75%-71%"""
25-30;M;;HQ;B;Permanent;31.03.2025;"""3-5""";999.0;1;164.0610427789186;"""3-5""";Active;1;#NV;Durchschnitt;Durchschnitt;Unrated;1 % - 3 %;;20%-24%
51-60;F;;HQ;B;Permanent;;33-35;0.0;1;20.421453841539286;"""9-11""";Active;1;#NV;Durchschnitt;Durchschnitt;‹berdurchschnitt;;3,1 - 5%;10%-14%
‹ber 60;M;;Werk;F;Permanent;31.12.2022;45-47;1.0;1;174.205795195809;15-17;Active;1;#NV;#NV;#NV;#NV;;3,1 - 5%;
‹ber 60;F;;HQ;G;Permanent;30.06.2025;33-35;1.0;1;44.5041948986287;"""6-8""";Terminated;1;Durchschnitt;#NV;#NV;‹berdurchschnitt;;1,0 - 3 %;
31-40;M;;Gesch‰ftsbereich;G;Fixed term contract;;"""6-8""";999.0;1;49.91053320145105;"""6-8""";Active;1;#NV;#NV;#NV;#NV;1 % - 3 %;3,1 - 5%;20%-24%
‹ber 60;M;;Gesch‰ftsbereich;B;Permanent;;36-38;999.0;0;40.01357166735927;"""3-5""";Active;0;#NV;‹berdurchschnitt;#NV;Durchschnitt;;;
51-60;M;;Werk;C;Permanent;;33-35;0.5;1;165.9642543055161;"""3-5""";Dormant;1;#NV;#NV;#NV;Durchschnitt;;1,0 - 3 %;5%-9%
25-30;M;30.09.2024;Gesch‰ftsbereich;C;Permanent;;"""3-5""";0.0;0;10.542832545771624;0-2;Active;1;Durchschnitt;‹berdurchschnitt;#NV;#NV;;1,0 - 3 %;
18-24;M;;Gesch‰ftsbereich;D;Permanent;;"""6-8""";0.0;1;62.8777986983055;"""3-5""";Active;0;‹berdurchschnitt;#NV;‹berdurchschnitt;#NV;1 % - 3 %;;70%-74%
41-50;F;;Gesch‰ftsbereich;E;Permanent;;33-35;0.5;1;7.793536072204616;"""6-8""";Active;1;#NV;Durchschnitt;#NV;#NV;1 % - 3 %;;5%-9%
51-60;M;;Gesch‰ftsbereich;E;Permanent;;36-38;999.0;0;58.76705460339075;18-20;Active;1;‹berdurchschnitt;#NV;‹berdurchschnitt;Durchschnitt;5,1 - 10%;3,1 - 5%;10%-14%
31-40;M;;Gesch‰ftsbereich;C;Permanent;;0-2;1.0;0;138.54862380923007;0-2;Active;1;#NV;#NV;#NV;#NV;3,1 - 5%;5,1 - 10%;
51-60;F;;Gesch‰ftsbereich;D;Permanent;;27-29;0.5;1;52.4758436301311;15-17;Terminated;1;#NV;#NV;#NV;#NV;;;5%-9%
25-30;M;;Werk;B;Permanent;;0-2;0.0;1;176.5268596814137;0-2;Active;0;#NV;‹berdurchschnitt;#NV;Durchschnitt;;;
31-40;M;;Werk;F;Permanent;;"""6-8""";0.5;0;8.969008027485664;"""6-8""";Active;0;Durchschnitt;‹berdurchschnitt;#NV;‹berdurchschnitt;5,1 - 10%;;5%-9%
18-24;M;;Gesch‰ftsbereich;F;Permanent;31.05.2024;"""6-8""";0.5;0;9.147436155123366;0-2;Active;1;#NV;Durchschnitt;#NV;Durchschnitt;;;"""-5%-1%"""
41-50;M;;Werk;A;Fixed term contract;;"""9-11""";999.0;1;186.9268140818012;0-2;Terminated;0;#NV;‹berdurchschnitt;#NV;Durchschnitt;3,1 - 5%;;10%-14%
41-50;M;15.10.2023;HQ;F;Fixed term contract;;21-23;1.0;1;15.14313442378111;"""9-11""";Active;1;‹berdurchschnitt;#NV;Durchschnitt;#NV;kleiner 1 %;20,1 - 40%;15%-19%
41-50;M;;HQ;A;Permanent;;"""12-14""";1.0;1;8.604147694027958;"""3-5""";Terminated;0;‹berdurchschnitt;#NV;#NV;#NV;;;10%-14%
41-50;M;28.02.2027;Gesch‰ftsbereich;A;Permanent;;21-23;0.0;1;35.713953973682905;"""3-5""";Active;0;#NV;‹berdurchschnitt;Durchschnitt;‹berdurchschnitt;40,01 - 60 %;;10%-14%
‹ber 60;M;;Werk;F;Permanent;;45-47;0.5;0;106.75864662160903;18-20;Active;1;Durchschnitt;#NV;Durchschnitt;‹berdurchschnitt;kleiner 1 %;;
51-60;M;;HQ;A;Permanent;31.12.2022;15-17;1.0;0;8.813227568001128;"""6-8""";Active;0;Durchschnitt;#NV;‹berdurchschnitt;‹berdurchschnitt;3,1 - 5%;;
31-40;M;;Gesch‰ftsbereich;E;Permanent;;"""6-8""";0.5;1;5.249866884471401;"""3-5""";Active;0;#NV;Durchschnitt;#NV;Durchschnitt;kleiner 1 %;40,1 - 60%;
51-60;M;;Werk;D;Permanent;30.06.2024;21-23;0.5;1;14.756845875437325;18-20;Terminated;1;‹berdurchschnitt;#NV;‹berdurchschnitt;Durchschnitt;;;10%-14%
41-50;M;;Gesch‰ftsbereich;A;Permanent;;15-17;999.0;0;34.041804017867484;"""6-8""";Dormant;0;#NV;#NV;#NV;Durchschnitt;5,1 - 10%;;5%-9%
51-60;F;;Gesch‰ftsbereich;C;Permanent;30.04.2023;"""6-8""";1.0;0;14.399313966717113;"""6-8""";Active;0;#NV;‹berdurchschnitt;#NV;Durchschnitt;;10,1 - 15%;5%-9%
18-24;M;;HQ;G;Fixed term contract;;0-2;999.0;1;50.02184442667965;0-2;Active;0;#NV;‹berdurchschnitt;Durchschnitt;#NV;1 % - 3 %;;
51-60;M;;Werk;B;Fixed term contract;;24-26;0.0;1;51.499314330516526;"""6-8""";Active;1;#NV;#NV;‹berdurchschnitt;#NV;;10,1 - 15%;5%-9%
31-40;F;;HQ;A;Permanent;;0-2;0.0;1;95.93577928878491;0-2;Active;0;Durchschnitt;#NV;#NV;#NV;;1,0 - 3 %;
31-40;M;;Werk;G;Permanent;;"""6-8""";999.0;0;46.92937907404921;"""3-5""";Active;0;#NV;#NV;#NV;Unterdurchschnitt;40,01 - 60 %;;
51-60;M;;Werk;A;Permanent;;24-26;1.0;1;79.0327063363614;15-17;Terminated;1;#NV;#NV;Durchschnitt;#NV;3,1 - 5%;10,1 - 15%;5%-9%
31-40;M;;Werk;G;Permanent;;"""9-11""";0.0;0;33.27328759348514;0-2;Terminated;0;Durchschnitt;#NV;‹berdurchschnitt;Unrated;;10,1 - 15%;35%-39%
31-40;M;;HQ;G;Fixed term contract;31.12.2023;"""6-8""";1.0;0;38.903810899258715;"""6-8""";Terminated;0;#NV;Durchschnitt;#NV;#NV;;;15%-19%
25-30;M;;Werk;C;Permanent;;0-2;999.0;0;70.19203770176647;0-2;Active;0;Durchschnitt;#NV;#NV;#NV;;kleiner 1%;
31-40;F;31.08.2024;HQ;G;Permanent;;"""6-8""";1.0;0;19.481826627273705;"""6-8""";Active;1;‹berdurchschnitt;Durchschnitt;Durchschnitt;‹berdurchschnitt;kleiner 1 %;kleiner 1%;15%-19%
41-50;M;;HQ;G;Permanent;;"""12-14""";0.5;0;15.698861157716586;"""12-14""";Active;1;#NV;Unterdurchschnitt;#NV;#NV;5,1 - 10%;3,1 - 5%;5%-9%
51-60;M;;HQ;F;Permanent;;24-26;1.0;0;12.64249987225239;18-20;Active;1;#NV;#NV;‹berdurchschnitt;Durchschnitt;1 % - 3 %;1,0 - 3 %;5%-9%
31-40;M;;Gesch‰ftsbereich;D;Fixed term contract;;18-20;0.5;1;101.79181183701108;0-2;Dormant;1;#NV;#NV;#NV;Unrated;;;10%-14%
41-50;M;;Werk;E;Permanent;;15-17;1.0;0;13.894686734471847;"""3-5""";Terminated;0;#NV;Unterdurchschnitt;Durchschnitt;#NV;1 % - 3 %;;
31-40;F;;Werk;A;Permanent;;"""12-14""";0.5;0;183.04713338265105;"""3-5""";Active;0;#NV;#NV;#NV;Durchschnitt;;;5%-9%
51-60;M;;HQ;C;Permanent;11.10.2024;15-17;1.0;1;0.24769140941360446;0-2;Active;0;#NV;Unrated;#NV;#NV;10,1 - 15 %;1,0 - 3 %;
51-60;M;;Gesch‰ftsbereich;G;Permanent;;15-17;999.0;1;60.55124525876308;"""6-8""";Active;0;#NV;Durchschnitt;#NV;#NV;1 % - 3 %;1,0 - 3 %;5%-9%
41-50;M;;Gesch‰ftsbereich;G;Permanent;29.02.2024;0-2;999.0;0;186.34838725906167;0-2;Active;1;#NV;#NV;#NV;#NV;;;
31-40;M;;HQ;E;Permanent;;"""12-14""";1.0;1;56.74391629356795;"""6-8""";Terminated;0;#NV;#NV;#NV;#NV;;10,1 - 15%;10%-14%
18-24;M;;Gesch‰ftsbereich;G;Permanent;;0-2;999.0;0;23.96787545406789;0-2;Active;0;#NV;#NV;#NV;#NV;;;
31-40;F;;HQ;E;Permanent;;0-2;0.5;0;190.0149342672071;0-2;Terminated;1;‹berdurchschnitt;#NV;‹berdurchschnitt;#NV;;;
31-40;M;;Werk;F;Permanent;30.04.2024;"""3-5""";999.0;0;57.071225271854836;"""3-5""";Active;0;#NV;Durchschnitt;#NV;#NV;10,1 - 15 %;;5%-9%
41-50;F;;Werk;E;Fixed term contract;;"""9-11""";1.0;1;19.515092484142656;0-2;Active;1;Durchschnitt;#NV;‹berdurchschnitt;Unrated;20,01 - 40%;5,1 - 10%;10%-14%
41-50;F;;Werk;E;Permanent;;24-26;0.5;1;31.20386260175855;"""3-5""";Active;0;#NV;‹berdurchschnitt;#NV;#NV;;10,1 - 15%;5%-9%
31-40;F;;Werk;A;Permanent;;18-20;0.5;0;18.459557351700234;"""3-5""";Terminated;0;Durchschnitt;#NV;#NV;#NV;1 % - 3 %;;15%-19%
31-40;M;;HQ;F;Permanent;;"""6-8""";0.0;1;10.489950411859674;"""6-8""";Active;0;Durchschnitt;‹berdurchschnitt;#NV;#NV;5,1 - 10%;75,01 - 100 %;10%-14%
31-40;M;;HQ;D;Permanent;31.05.2024;15-17;0.5;0;10.39453450862582;"""3-5""";Active;0;‹berdurchschnitt;#NV;#NV;#NV;;1,0 - 3 %;"""-15%-11%"""
41-50;M;;HQ;G;Permanent;;"""6-8""";1.0;0;60.787588518079204;"""6-8""";Active;1;#NV;Durchschnitt;#NV;#NV;;5,1 - 10%;0%-4%
31-40;M;15.08.2023;HQ;B;Permanent;;"""12-14""";0.5;1;81.15067489710972;"""12-14""";Terminated;1;Durchschnitt;‹berdurchschnitt;#NV;#NV;10,1 - 15 %;kleiner 1%;10%-14%
25-30;M;;Gesch‰ftsbereich;D;Permanent;31.01.2024;0-2;0.5;1;33.083104406598004;0-2;Dormant;0;#NV;#NV;#NV;Durchschnitt;;;
51-60;M;;HQ;A;Permanent;;39-41;0.0;1;106.94740163182601;18-20;Terminated;1;Durchschnitt;#NV;#NV;#NV;;;5%-9%
31-40;M;;Gesch‰ftsbereich;D;Permanent;;15-17;0.0;0;19.76336320631282;0-2;Active;1;#NV;Durchschnitt;‹berdurchschnitt;#NV;;5,1 - 10%;15%-19%
25-30;M;;Werk;B;Permanent;;"""9-11""";1.0;1;84.41163070471023;"""6-8""";Active;0;‹berdurchschnitt;#NV;#NV;#NV;10,1 - 15 %;1,0 - 3 %;10%-14%
51-60;F;14.01.2024;Werk;E;Permanent;;18-20;0.5;1;18.431506365142805;18-20;Active;1;#NV;#NV;Durchschnitt;#NV;kleiner 1 %;;5%-9%
‹ber 60;F;;Gesch‰ftsbereich;C;Fixed term contract;30.09.2022;45-47;0.5;0;72.05116651135634;"""3-5""";Active;0;#NV;#NV;‹berdurchschnitt;Durchschnitt;;3,1 - 5%;
41-50;M;31.01.2024;HQ;C;Permanent;31.03.2025;15-17;999.0;0;147.15976828649485;15-17;Active;1;#NV;Unterdurchschnitt;#NV;#NV;;kleiner 1%;5%-9%
31-40;M;;Gesch‰ftsbereich;D;Fixed term contract;;15-17;0.0;0;8.219413756567327;"""9-11""";Active;0;#NV;#NV;#NV;#NV;;;5%-9%
‹ber 60;M;31.12.2023;HQ;E;Fixed term contract;14.02.2023;36-38;0.5;1;40.46623689901258;"""3-5""";Terminated;1;‹berdurchschnitt;Durchschnitt;#NV;#NV;;10,1 - 15%;
41-50;M;;Werk;D;Permanent;;0-2;999.0;1;179.3369174733306;0-2;Active;0;#NV;‹berdurchschnitt;Durchschnitt;#NV;5,1 - 10%;1,0 - 3 %;
41-50;M;;Gesch‰ftsbereich;E;Fixed term contract;29.02.2024;0-2;0.5;1;145.17599437016293;0-2;Active;1;Durchschnitt;Durchschnitt;#NV;#NV;;;
31-40;F;;Werk;E;Fixed term contract;;0-2;1.0;0;3.241359932376568;0-2;Active;0;#NV;‹berdurchschnitt;#NV;#NV;3,1 - 5%;;
31-40;M;;Werk;C;Fixed term contract;;"""6-8""";1.0;0;9.266334938264754;0-2;Active;0;#NV;#NV;Durchschnitt;#NV;;1,0 - 3 %;10%-14%
31-40;M;;Gesch‰ftsbereich;G;Permanent;;"""12-14""";999.0;0;139.8095895004915;"""3-5""";Active;1;#NV;‹berdurchschnitt;‹berdurchschnitt;#NV;;;15%-19%
31-40;M;;Gesch‰ftsbereich;F;Permanent;;"""6-8""";1.0;1;104.44264486962157;"""3-5""";Active;0;#NV;Durchschnitt;#NV;Durchschnitt;;;
18-24;F;;Werk;B;Permanent;;0-2;999.0;0;21.71296069251393;0-2;Active;1;#NV;Unrated;Durchschnitt;‹berdurchschnitt;;10,1 - 15%;
31-40;M;;HQ;B;Permanent;;"""9-11""";1.0;1;29.757776746904767;0-2;Terminated;0;‹berdurchschnitt;Unrated;#NV;#NV;kleiner 1 %;3,1 - 5%;25%-29%
41-50;M;31.12.2024;Gesch‰ftsbereich;C;Permanent;;"""12-14""";0.0;1;18.235087920345865;"""3-5""";Active;1;‹berdurchschnitt;Durchschnitt;#NV;#NV;;3,1 - 5%;20%-24%
51-60;M;;HQ;A;Permanent;;27-29;999.0;0;50.50570487275435;"""3-5""";Active;0;#NV;#NV;#NV;‹berdurchschnitt;1 % - 3 %;5,1 - 10%;10%-14%
‹ber 60;M;;Werk;F;Permanent;30.09.2023;33-35;0.5;1;87.16718528706282;"""3-5""";Active;0;Durchschnitt;Durchschnitt;#NV;#NV;20,01 - 40%;1,0 - 3 %;
51-60;M;;Gesch‰ftsbereich;G;Permanent;;"""9-11""";1.0;0;54.505352792362714;"""9-11""";Active;0;#NV;#NV;Durchschnitt;‹berdurchschnitt;10,1 - 15 %;;10%-14%
25-30;M;;Gesch‰ftsbereich;A;Permanent;;"""3-5""";0.0;1;127.2090125133199;"""3-5""";Active;0;#NV;#NV;#NV;‹berdurchschnitt;;10,1 - 15%;25%-29%
51-60;M;;HQ;A;Permanent;;"""12-14""";0.0;0;3.937488821450949;"""3-5""";Active;1;#NV;‹berdurchschnitt;#NV;‹berdurchschnitt;;10,1 - 15%;5%-9%
18-24;M;;Werk;G;Permanent;;0-2;0.5;1;120.50540133907421;0-2;Terminated;0;Durchschnitt;#NV;Durchschnitt;Durchschnitt;kleiner 1 %;;
51-60;M;;Werk;G;Permanent;;33-35;0.0;0;158.29224175234415;0-2;Active;1;#NV;#NV;Durchschnitt;‹berdurchschnitt;;kleiner 1%;5%-9%
25-30;M;;Werk;B;Permanent;;0-2;0.5;0;176.87549185593988;0-2;Dormant;1;Durchschnitt;#NV;#NV;#NV;20,01 - 40%;;
